issuekey,title,description,storypoint
DURACLOUD-298,bit integrity service split two services,clean bit integrity service include remove salt split service two services bit integrity tools generate compare bit integrity verify,1
DURACLOUD-299,crossservice clean,clean include change order services logical possibly alphabetical change name services prefix variations service example bit integrity service bulk,1
DURACLOUD-301,provide clear visual cue duradmin indicate storage provider currently selected,observed using duradmin easy forget storage provider selected perform action wrong provider task provide visual cue help distinguish providers one potential way would storage provider correspond different color color displayed prominently perhaps even spaces area background provider selected,4
DURACLOUD-302,remove location selection service deployment via duradmin,able select alternate deployment location deploying service feature come road meantime display option none services use,1
DURACLOUD-303,simplify deployment bulk services,items simplify bulk services duplicate demand bulk image conversion bulk bit integrity checker use default setting number type instances number type depend service require testing determine reasonable default large instances work bulk bit integrity testing pilot partners help narrow good defaults duplicate demand bulk image conversion,3
DURACLOUD-304,update image transformer service deployment options,changes apply image transformer bulk image transformer services clarify destination color space confused duracloud space move file name prefixsuffix options directly source space,1
DURACLOUD-305,azure storage provider list space contents contains truncated contentid,name attribute returned iblobcontainerlistblobs sometimes truncates contentid instead parse contentid uri attribute azurej fixes issue,3
DURACLOUD-306,bit integrity service simplify user options,improvement update bit integrity service following ways create default space output create autogenerated output name provide checkbox providing input listing name add checkbox input listing cause input listing generated metadata,3
DURACLOUD-307,bulk bit integrity service simplify user options,improvement include following updates bulk bit integrity service remove config option uixml destination space service output automatically right space xserviceout content prefix bitintegritybulk remove config option uixml working space service automatically set working space xservicework,2
DURACLOUD-309,audit log service,task capture make available users audit logs list activities occurred duracloud likely need separate set logs storage services messaging support completed storage services new service could created listen messages sent store write log files stored users storage area,3
DURACLOUD-310,audit logging storage,task capture audit information relating storage events users single location listener running times users storing results within duracloud storage,5
DURACLOUD-311,sync tool syncing dsstore files mac,sync tool syncs dsstore files peripheral files autogenerated mac folder actually content needs synced duracloud would nice tool knew automatically ignore types files,2
DURACLOUD-312,serviceinfoclone,clone method needs implemented order deployedservices within servicemanagerjava systemconfig data member become null deployment currently going scope,1
DURACLOUD-313,security initialization,improvement disallow updates root user security credentials via rest api,2
DURACLOUD-314,bulk bit integrity service error allocating memory,issue resolve bug recorded following link bryan beecher icpsr hadoop logs attached brief scan logs indicates hadoop servers running memory,3
DURACLOUD-315,storage usage report service,provide way generate report least following information number files space total size files stored space average file size space file types mimetypes represented space total number files spaces total size files spaces average size file spaces file types mimetypes represented spaces information storage provider use reports available download stored within duracloud referenced periodically point may want provide way schedule running reports monthly would seem good fit service gathers needed information formats stores output space restapi exposed client access reports feature suggested markus wust ncsu pilot partner meeting dec also interested seeing information included reports relates storage costs,13
DURACLOUD-318,bit integrity service incorrect report item list exist,david arjanik columbia unable successfully complete use case preservation monitoring test heres excerpt notes regarding use case test plan service test using initial listing test create new listing file mds altered entire line items removed new line items arjanik done altered checksums first three lines deleted next three lines added two lines end files duracloud instance uploaded admin usecaseservicetestmd run fixity service altered listing input previous test arjanik reconfigured service run new file report ran successfully generating files fingerprintsservicetestcsv integrityreportservicetestcsv names specified reconfiguration iii verify erroneous entries identified generated report arjanik downloaded fingerprintsservicetestcsv integrityreportservicetestcsv arjanik checked integrityreportservicetestcsv file attached one line report data spaceid contentid adminusecaseservicetestmd adminfingerprintsservicetestcsv status invalid manifest file newspace readmetxt error metadata null newspacereadmetxt arjanik deleted new file generated report files service test admin space try reconfigured redeployed service downloaded results results edited file replaced fictitious space newspace usecase deleted old report files redeployed service downloaded reports renamed integrity report integrityreportservicetestndtrycsv attached results basically opened fingerprints file new lines correctly identified referring files didnt exist duracloud six files ive attached perfect match test usecasemd input file listing correct space contents correct checksums fingerprintscsv checksum file generated bit integrity checker integrityreportcsv diff report generated bit integrity checker test successful errors test checksums first three files list changed next three files removed list last two lines refer files duracloud instance fingerprintscsv file appears use incorrect formatting last two lines lines files dont exist instance integrityreportcsv malformed integrity report service configuration service mode verify integrity list items get integrity information fromthe storage provider salt empty store amazons space input listing admin input listing name usecaseservicetestmd output space admin output listing name fingerprintscsv output report name integrityreportcsv,1
DURACLOUD-319,duplicate demand service failing,duplicate demand service failed service configuration source space synctest copy store rackspace copy space replicants store results file space replicateout working space tmp number server instances type server instance large instance service final status job ended utc service status job complete serviceid replicationondemandservice servicestatus started job state failed job started utc job jpdvcsadtpq additional statistics run icpsrduracloudorg synctest source space items closed space tmp work space log files generated one run service job jpdvcsadtpq ran minutes failing mapreduce job failed minutes files successfully duplicated logs stepsstderr shows task attempts killed responding minutes,2
DURACLOUD-320,duradmin upload failures multiple large files,uploading multiple files duradmin failures frequently occur causing content land durastore scenario select file upload five times row duradmin using different contentids waiting one complete uploading verify five files successfully upload scenario consistently fails,1
DURACLOUD-323,bulk bit integrity service add comparison,bulk bit integrity service contain following updates add optional config option takes userspecified input listing used verify mds hadoop servers generated new listing listing provided service compare mds stored storageprovider metadata post processing implemented postjobworker,3
DURACLOUD-324,reverse upload history order upload window,would nice reverse order upload history upload window recent andor inprogress uploads appear top instead bottom popup window sort firefox download window putting recent ones bottom requires user scroll see progress bars recent uploads,1
DURACLOUD-325,image viewer flyout longer works,past content item image mimetype would present link image thumbnail djatoka service running canned picture icon link would display flyout image viewer clicking thumbnail picture icon effect,1
DURACLOUD-326,duradmin incorrectly displaying space size,using duradmin display spaces larger items space size often misreported even though listing items space also clicking space longer refreshes item listing metadata space also true content items,1
DURACLOUD-327,duradmin delete button misaligned,hovering multiline content item displays delete button halfway current item next item list delete button displayed completely within boundary content item delete,1
DURACLOUD-329,video streaming duradminspaces,item address issue duradmin showing streaming video clicking content item space mediastreamer enabled scenario create two spaces video tmp add file attached jira item space video deploy mediastreamer server using video source tmp destination wait service deployment complete click item video space video shown righthand column point note directly streaming video available,1
DURACLOUD-331,nullpointerexception duplicateonchange service delete content,item address issue npe thrown duplicateonchange service running item deleted monitoring duracloudservicesadminlog show upon action npe thrown orgduracloudservicesreplicationreplicatorreplicatecontentreplicatorjava service successfully remove item secondary store remains alive osgi container however case probably guarded,3
DURACLOUD-332,duplicate change space access propagated,item address issue duplicateondemand service updating access state secondary provider space primary provider changed open closed vice versa scenario deploy duplicateondemand service create space primary store verify space also created secondary store verify spaces access state toggle access state primary space boom notice access state secondary space change,1
DURACLOUD-333,changing space access removes space metadata,changing access level space space metadata removed create space add space metadata change space access refresh space notice space metadata gone,1
DURACLOUD-335,media streamer files getting set proper permissions,occasion starting media streamer service one several files streamed set proper permissions streaming thus far issue always resolved restarting media streamer seems likely missing permission due failed call retry would likely fix problem,1
DURACLOUD-338,chunker tool error pushing files subdirectories windows,running chunker tool windows content directory includes subdirectories files tool attempt send file duracloud name subdirnamefilename causes error character cannot part content show linuxmac systems used instead task update chunker tool replace characters characters generated content ids,1
DURACLOUD-339,duradmin errors space filter,attempting filter name space used xservicework dir example need features get logs specific bulk run tend get next page failed error get space failed error popups filter works loads list filtered content items correctly errors seem unnecessary appears new attempts made get content listing every change filter box letter type creates new call guess adding filter button beside text box making call button pressed would fix issue,1
DURACLOUD-341,duplication demand destination space,configuring duplication demand service leave destination space name blank service automatically create destination space source spaces name carissa ran service leaving destination space blank assuming would occur service ran completion service status read complete duplicated content found,1
DURACLOUD-342,bulk image transformer output standard csv format,currently output bulk image transformer modified csv format similar namevalue namevalue namevalue task update output standard csv format value value value first line file header indicates names values follow name name name bulk bit integrity service produces format allowing hadoop reducer produce value lines using post processor insert name line top,2
DURACLOUD-344,consistency service output destinations names,improvement ensure reportlike outputs services created xserviceout space also outputs consistent naming convention serviceidentifierreportname serviceidentfier lowercase words necessary,4
DURACLOUD-346,refactor integration tests regularly fail,task determine integration tests regularly fail due eventual consistency effects issues related underlying storage provider implementations eventually tests either refactored resistant underlying storage issues refactored unit tests require network connectivity however refactoring work addressed separate task,5
DURACLOUD-347,hashed user credentials,improvement change current pattern storing user credentials inmemory plain text storing hash credentials inmemory authn perform hashing sha see spring security adding passwordencoder authentication providers versions,5
DURACLOUD-348,bulk service status message,improvement accurately display service status state bulk services currently bulk image conversion bulk bit integrity checking processed two steps hadoop processing post processing duracloud instance service status shows conflicting messages job state complete hadoop step done service status shows post job processing bit integrity nothing image conversion accurate consistent status messages need put place across services,2
DURACLOUD-349,bit integrity service iterating http stream,issue change listingiterator found hashfinderworkloadjava iterate cached file inputstream rather content inputstream http get although scenarios issue content stream large lines http stream sometimes breaks causing iteration stop,1
DURACLOUD-351,allow buildtime specification dependency osgi bundle version,improvement allow services built within particular version baseline say specify compatibility dependency duracloudosgi bundles another version say,1
DURACLOUD-352,bit integrity service support comparison space manifests million items,improvement ensure spaces contain million items successfully perform bitintegrity manifest verification,2
DURACLOUD-353,bulk bit integrity service shutdown postprocessor,item address issue shutting bulk bit integrity service undeploy also shutting postprocessor reproduce error start bbis space containing items job state indicates complete service status still indicates post job processing undeploy service undeploy fails due inability remove fixityservice osgi bundle services container still processing point bbis remains duraservice longer available via servicesadmin,2
DURACLOUD-354,bulk image conversion failure due hadoop ami upgrade,item address breakage caused amazon elasticmapreduce changing default ami hadoop jobs effects bulk image conversion service faulting bootstrap script due missing dependency aptget initialization,1
DURACLOUD-355,media streamer allow streaming multiple spaces,task allow user select multiple spaces media streaming service stream,2
DURACLOUD-356,synctool selective syncing,improvement allow user selectively sync specific files based subdirectories prefixes andor suffixes using synctool,3
DURACLOUD-357,media streamer stream files added space,task set listener new files added spaces streaming already enabled enable files streaming well,4
DURACLOUD-358,revisit build source,appears ocj dependency used paxconstruct longer available public repository task revisit pax see upgrade order ensure build works scratch,5
DURACLOUD-364,single use access urls,task allow creation single use access urls user would need specify file would like provide access duracloud would provide link file accessed single time url used longer allows access file,5
DURACLOUD-365,service reports contain another differentiator,service reports appear serviceoutput space need additional differentiator services run multiple times one day overwrite one another,4
DURACLOUD-369,bulk bit integrity service postprocessing hadoop,improvement change bulk bit integrity service run metadata collection postprocessor hadoop instead single process main duracloud instance enables service run within hours instead days spaces exceeding items,3
DURACLOUD-370,notificationemail utility,feature expose utility sending emails consist general interface project corresponding implementation project,2
DURACLOUD-371,remove interim bulkbitintegrity manifests,improvement remove service output space interim manifests bulkbitintegrity service creates final report created manifests bitintegritymetadataresultscsv bitintegrityresultscsv,3
DURACLOUD-374,service report backend utility currently running services,provide way generate report containing details running services details include least following information tbd reports also available retrieval restapi,5
DURACLOUD-375,storage report dashboard,task create dashboard displaying downloading reports storage rest api calls available storage report information gathered need created able display information reports reports likely xml xslt option display,5
DURACLOUD-376,limit time spent spinning mapper task within hadoop,currently service code runs hadoop kicks thread ensure mapper enough time complete threads time limited mapper process hangs hadoop job could potentially live forever task revisit threads bulk jobs set limit amount time threads give mapper activity,2
DURACLOUD-377,remove user management duradmin,task remove usermanagement capabilities adminstration tab duradmin since functionality moved accountmanagementapp,1
DURACLOUD-379,runaway service monitor,task create scriptapplication monitors duracloud accounts longrunning bulk services sends email alert upon detection,1
DURACLOUD-380,azure storage provider adding content specifying checksum,checksum provided upon adding content azure checksuminputstream incorrectly trying calculate checksum provided stream provided checksum used instead calculating stream,1
DURACLOUD-381,duracloud instance losing initialization information,restart duracloud instance via amazon management console wait minutes run appconfig initialize instance check instance everything looks good wait min check time none users init duradmin duraservice steps log duradmin root see admin tab users listed going services tab brings get available services failed error dialog also able log duradmin user besides root interestingly everything seems normal spaces tab rest calls durastore work fine secondary issue step dont wait minutes ahead duradmindurastoreduraservice available less min restart short amount time init less min durastore duraservice init away case users still present,5
DURACLOUD-382,create example serviceclient,task create sample serviceclient analogous sample storeclient,1
DURACLOUD-383,bit integrity service support retries interrupted content downloads,task add retries bitintegrityservice content item downloaded calculate match expected metadata,1
DURACLOUD-384,bit integrity service pass comparison phase contentid csv input,comparison phase allinoneforspace run bitintegrityservice tries guess contentid input csv files datetimestamps appended contentids becomes difficult therefore input contentids passed comparison phase,1
DURACLOUD-385,image viewing url stability,task investigate stability image viewing urls across upgrades duracloud instances duracloud instance allocated static address behavior unexpected specific uses cases demonstrating issue please add comments,2
DURACLOUD-387,error large space delete,item resolve issues seen trying delete large space rackspace storage provider bhlduracloudorg instance space masterrack initially contained items deleting single items page items succeeded however trying delete entire space popup pops minutes indicating operation failed one attempt number items dropped another attempt failing number items dropped looking logs instance appears two different types errors occurring coming rackspace could connect rackspace due error read timed object found reportofscientifscotrichreportofscientifscotrichmetasourcexml contentitems also reported unfound see attached catalinaout details storage provider billduracloudorg instance space numfilestestwork initially contained items clicking delete space duradmin started spinning minutes came back dialog saying failed delete space checking space size dialog popped showed items however even duradmin loop size space continued drop space eventually deleted minutes errors logs indicating failure,5
DURACLOUD-389,service registry naming,update needed support creating serviceconfigxml document named allowable service registry name old convention duracloudservicerepo new convention duracloudservicerepo,1
DURACLOUD-390,security userdetailsservicegetusers,improvement add method security userdetailsservicegetusers limit access call roleadmin,1
DURACLOUD-392,create installation package release,installation package include documentation three wars duradmin duraservice durastore zip service registry zip osgi container,1
DURACLOUD-394,page load latency,duradmin pages built using jquery browser loads scripts pull data building page creating perceptible delay rendering recommended solution may pull jquery back try build screen using much scripting browser versions usage scenarios need added jira item,2
DURACLOUD-397,metadata editor allows blank values,metadata editing via duradmin using regular editor edit metadata dialog allows add empty namevalue pairs metadata list metadata names required although appears allow empty metadata namevalues name empty metadata persist,1
DURACLOUD-398,shortcuts useful disabled,holding shift one arrow keys odd things display shortcuts disabled,1
DURACLOUD-399,allow user select spaces include running duplicate change,task provide option users select list spaces configuring duplicate change service perform duplications items spaces one reason feature allow users choose duplicate xserviceout xservicework spaces,3
DURACLOUD-400,durastore rest api textplain response getspaces,inconsistency noticed looking rest api particular method gives response contenttype header textplain methods return xml declare contenttype textxml example gives textplain gives textxml,1
DURACLOUD-401,use applicationxml response contenttype xmlreturning rest api methods,rest api methods return xml today use textxml applicationxml actually better choice due character encoding issues according specification text media types rfc charset parameter specified declaration mime type end contenttype value ala textxml charsetutf must assumed body encoded usascii encoding declared xml declaration supposed ignored couple online posts explain problem clearly intent duracloud rest api methods return xml encoded utf xml declaration says according standards textxml used instead applicationxml contenttype declared charsetutf mime parameter xml declaration supposed ignored clients assume usascii,1
DURACLOUD-402,allow local service repository,currently required service repository duracloud instance hosted another duracloud instance task allow service repository hosted within instance simplify deployment standalone duracloud instances users open source platform lead way toward allowing multiple service repositories associated single instance,1
DURACLOUD-403,improve binary installation package,release first binary installation package created allows system admins deploy instance duracloud without needing build source good first step pieces could make process smoother include wars names include version jars dropped tomcat release version included file name deployed expected context path rather context path durastore instead durastoreversion installation package zip file includes version number sufficient include appconfig jar needed configure instance include example properties file used appconfigjar instance initialization include defaultexample logbackxml file used within service bundle home update included runbat file properly pick environment variables windows environment allow use local service repository handled duracloud update included readmetxt file complete instructions standing duracloud instance using files provided installation package parts document refer wiki explanation ideally entire process would well enough defined readme links wiki would optional reading,1
DURACLOUD-404,duraservice clean reinitialization,currently reinitializing duraservice due caching elements take new reinitialize values improvement determine implement required make duraservice reinitialization work initialized scratch,1
DURACLOUD-406,servicexml generate build test,improvement servicesxml servicerepo manifest created mvn package phase instead test,1
DURACLOUD-407,servicexml generate various renditions,feature servicesxml servicerepo manifest generated various duracloud account package types archiving preservation media access professional trial,1
DURACLOUD-408,host duracloud maven artifacts sonatype,item includes following tasks open ticket sonatype orgduracloud check deps outside central check dep licenses make sure poms good quality sonatype oss following plugin useful mvn dependencytree,5
DURACLOUD-409,failed copy files running large duplicateondemand service,small percentage files copied execution large duplicate demand service execution result either missing file zero length file target space bug demonstrated repeatedly different providers copies back provider however observed large file sets circa,16
DURACLOUD-410,use amazon multipart upload large files,task update sstorageprovider make use amazons multipart upload option content large enough require chunking would mean rather storing chunked file parts associated manifest would use multipart tools push pieces assemble since entire chunked file available need calculate transfer store metadata,5
DURACLOUD-416,implement content cache mitigate eventual consistency issues,order make issues eventual consistency issue concern users duracloud durastore updated provide cache content stored could mean either storing file locally first making call push provider wrapping stream order write file locally stored provider local files would used fulfill get requests come shortly file stored files cache would removed greater degree certainty file available following requests provider perhaps certain time period elapsed note one benefit storing files locally prior pushing provider would could know file size generate checksum locally making provider request meaning could ensure file reached durastore correctly passing along next location may also become useful handling large files intend pass provider using multipart upload,5
DURACLOUD-420,create ami,updates ami include trim apache rules expect running port add utf support tomcat connectors connector port protocolhttp connectiontimeout redirectport uriencodingutf connector port protocolajp redirectport uriencodingutf add debug tomcat startup script,1
DURACLOUD-423,filter display service properties,feature omit rendering service properties names prefixed system service properties useful monitoring scripting probably confusing endusers duradmin,1
DURACLOUD-424,service completion state must accurate nonbulk services,improvement reflect completion state nonbulk services success failure currently service state remains started affected services bit integrity checker bit integrity checker tools image transformer additionally endtime service captured service properties,3
DURACLOUD-425,service completion state must accurate bulk services,improvement reflect completion state bulk services success failure currently service state remains started affected services bit integrity checker bulk image transformer bulk duplicate demand additionally endtime service captured service properties,2
DURACLOUD-427,wayback machine service,duracloud users storing web archive content warcs wayback machine search access would valuable feature create service reference,8
DURACLOUD-429,irodschronopolis storage adapter,feature add new storage adapter connect irodschronopolis ala rackspace azure base code already provided mike smorul,3
DURACLOUD-430,bulk upload client tool,task create clientside tool provides nice user interface managing bulk upload tasks tool provide allows files uploaded via following methods filedirectory selection dialog progress bar provided indicates status upload specifying file uploaded progress transfer may make sense use synctool background manage file transfers,8
DURACLOUD-431,duradmin mimetype editor applicationatomxml regex,attempting set mimetype content item applicationatomxml error invalid mimetype displayed prohibits setting desired mimetype,1
DURACLOUD-432,file name collisions detected google chrome,using duradmin google chrome upload file file name collision detection popup warning upload simply replaces file using google chrome mac note file name detection popup work firefox,1
DURACLOUD-433,duradmin service status,service deployed via duradmin entry created detailing service hostname status status apparently populated service deployed never updated actual service status changes course processing improvement keep status info entry uptodate pulling content service status property instead deploymentstatus currentaccurate status info also displayed right hand side service details,1
DURACLOUD-435,reinit clear cached storageproviders,upon reinit cached storageproviders cleared order specify different stores,1
DURACLOUD-436,service registry name servicexml dependency,improvement decouple dependency contentid servicexml file service registry spaceid registry currently contentid required identical spaceid addition xml extension servicexml contentid allowed name,2
DURACLOUD-438,add serviceresult completed service properties,improvement add new service property across services completion success failure notes contentid service result file property set upon service completion,1
DURACLOUD-439,enforce space rules services,enforce space rules entering space name duplicate demand service,1
DURACLOUD-440,handle unicode characters storing retrieving content,task ensure content item added retrieved durastore duradmin using characters expressed via unicode generally seems like possible add content items unicode content problems come attempting accessupdatedelete items problems consistent durastore duradmin occationally durastore allows retrieving files duradmin ascii content ids currently fail test list exhaustive examples testitem duradmin cannot load content error accessing via durastore testitem duradmin cannot load content bad request response durastore testitem duradmin cannot load content works fine durastore testitem duradmin cannot even bring metadata works fine durastore course content ids nonascii characters also problems blankhlnjrtxt blank txt seems problem duradmin file retrieved deleted via durastore problem problem duradmin durastore file cannot retrieved deleted via either,5
DURACLOUD-441,servicemanager servicemanager client share interface,improvement following two classes implement interface orgduracloudclientservicesmanagerjava orgduracloudduraservicemgmtservicemanagerjava,1
DURACLOUD-442,change metadata properties,task transition away use term metadata regard namevalue pairs associated duracloud spaces content instead term properties used work involved transitioning two terms throughout baseline,2
DURACLOUD-443,service report create schema serializer servicereportgetcompletedservicesreportlist,task create schema serializer list contentids returned servicereportgetcompletedservicesreportlist expected xml look something like servicereportids servicereportidservicereportxmlservicereportid servicereportids,1
DURACLOUD-444,cumulative storage report,task add additional storage report cumulative ongoing report updated time new storage report completes information report entry completed storage report provides top level report information mime type information would left information detailed report may excluded well goal report able create graphs show change content stored time report could work like completed services report could cycled start new file monthly information included cumulative report allows creation links detailed reports well crosslinks detailed report charts could detailed report content,3
DURACLOUD-445,storageprovider support object copyrename,improvement provide storageprovider interface support copy object stored within durastore another space within storage provider rename object stored within durastore new contentid within existing space three storage providers amazon rackspace azure provider restapi support copy appears amazon azure java clients expose functionality,4
DURACLOUD-446,service reports commadelimited contentids,bug service reports become invalid contentid contains since currently service reports output commadelimited potential solution create tabdelimited service reports,2
DURACLOUD-447,update durareport storage reporting xml generated using jaxb,purpose task swap current xstream implementation durareport storage report generation use jaxb main reason able provide xml schema data generated information easily retrieved used,3
DURACLOUD-450,link service report service properties display,improvement add link services report property display possibly flyout tabular form service results,2
DURACLOUD-451,use different icons service,goal task include different icon beside service deployed services listing available services listing,2
DURACLOUD-452,remove provider dropdown one provider,task remove storage provider dropdown one provider enabled,1
DURACLOUD-453,use different icons content item download view links,task replace button icon content item view link currently download link perhaps eye icon something similar would work,1
DURACLOUD-454,adjust service deployment box remove scroll bars,task readjust popup dialog used deploying services scrolling necessary scroll bars displayed,1
DURACLOUD-455,display service status correctly,currently table lists deployed services column called status always displays started regardless actual status services value read deployment status meaningless task read actual status service service properties display table,1
DURACLOUD-456,administration tab always contains text users defined,task display users defined text administration tab actually users defined,1
DURACLOUD-457,service monitoring reconfigure,improvement ensure monitor thread place service reconfigured service reconfigured either still running completed since reconfigured service retains deploymentid service still running continue monitored original monitoring thread however service complete needs new monitor thread started since service effectively restarted via reconfiguration,1
DURACLOUD-458,space delete indicate users space process deleted,currently deleting space reasonable size dialog spins space removed spaces list list spaces refreshed deleted space shows background process still running delete space way user know happening task make clear users space process deleted,2
DURACLOUD-460,provide informative error messages special characters space content properties,special characters included metadata names values added spaces content show immediately list metadatatags special characters arent valid http header values information actually added space content item provider task check valid characters pass back errors users know allowable characters,3
DURACLOUD-462,inform users characters cannot part content,three characters allowed content ids noted idutil errors returned durastore trying add item content including characters useful information presented users duradmin error returned use character character doesnt get passed durastore validator duradmin catch characters users provided useful error message indicating problem,1
DURACLOUD-464,xml files viewed chrome appended javascript code,using duradmin via chrome browser selecting file type xml choosing view file xml rendered correctly followed block javascript code starting tryfunction lpshowmenudivid,2
DURACLOUD-465,handle semicolon character,content whose contains semicolon character added duracloud instance characters semicolon dropped file available wrong,2
DURACLOUD-466,duracloud constants,task create new maven project simply holds constant values required across projects likely constants implemented enums examples include delim encoding utf candidates include service constants see orgduracloudservicescomputeservicejava common constant classes dependencies orgduracloudcommonutildateutildateformatjava,2
DURACLOUD-467,using enter key add space selects closed space access,using enter key add space dialog submit request add space selects closed access button submits request space created correctly access button indicates default open state enter key hit space ends closed access created tested windows firefox chrome,1
DURACLOUD-468,add message indicate services available deploy,services deployed click available services message services available,1
DURACLOUD-469,display selected service service configuration dialog,name service selected needs displayed screen used configure service currently text reads configure service isnt helpful,1
DURACLOUD-471,document installation process,task update trunkresourcesreadmetxt file complete instructions standing duracloud instance using files provided installation package parts document refer wiki explanation ideally entire process would well enough defined readme links wiki would optional reading initial outline process documented one developers detailed steps flushed someone familiar process,2
DURACLOUD-474,service errors removal expected spaces,task analyse exact impact removing spaces xserviceout xservicework run service analysis implement strategy allowing services run successfully completion resolutions could potentially include services exiting gracefully services recreating expected spaces potentially allowing spaces deleted first place,3
DURACLOUD-475,create consistent css styling reporting,improvement restyle dashboard storage services tabs consistent styling rest duradmin application,3
DURACLOUD-478,facilitate integration cdl merritt,task support conversations integration merritt duracloud likely software development cdl side time effort needed support,1
DURACLOUD-481,cloudsync service,feature add new cloudsync service service likely webapp service ala jkservice note cloudsync probably updated take working directory initialization argument,2
DURACLOUD-482,readd duracloud favicon,update readd duracloud favicon duradmin application release rendering somehow dropped,1
DURACLOUD-484,duradmin support object copyrename,feature add support single content copyrename operations,3
DURACLOUD-485,storeclientrest support object copyrename,feature expose storageprovidercopycontent method durastore rest api well update storeclient however feature implemented patch submitted rackspace incorporated rackspace javaclient baseline,3
DURACLOUD-486,duplicate change may successfully duplicate files,testing completed harvard duplicate change service deployed followed running sync tool transfer files single space duplicate change service configured watch primary amazon provider copy files rackspace files uploaded duplicate change service given ample time complete files moved space rackspace files duplicated task determine small set files may slipped cracks update code files missed future runs service output report generated indicates files transferred captures errors occur along way log files harvard instance attached issue reference,4
DURACLOUD-487,retrieval tool add ability retrieve space item list,task add option retrieval tool pull list items given space list spaces rather actually retrieving list written file existing tool duracloudutils named spacelistertool already provides capability may useful borrow code implementation result single new command line option listonly perhaps included causes space list stored content directory rather files,1
DURACLOUD-489,serve duradmin pages xhtml,task update duradmin serve pages strict xhtml mime type used applicationxhtmlxml doctype header also specified doctype html recommendation html,2
DURACLOUD-490,production ami,task create new production ami tagged codebase include etcinitdtomcat export catalinaoptsxmsm xmxm xxmaxpermsizem,1
DURACLOUD-491,add version number output sync retrieval tools,task include version number printed output sync retrieval tools easy determine version used,1
DURACLOUD-492,storeclient movecontent,feature add additional method storeclient namely movecontent method simply call copycontent followed deletecontent,1
DURACLOUD-493,duradmin login url,issue shows following scenario launch instance root user management console login fails expected typing correct root usernamepassword continues fail manually removing trailing portion url loginerrortrue would ideal incorrect login using pattern produce url browser,1
DURACLOUD-495,move duradmin dojo,,5
DURACLOUD-496,contentstore duplicate across providers,feature provide users way copy single item one storage provider another storage provider within storage provider implementation likely similar contentstorecopycontent contain optional source storeid effort also include exposing crossprovider copy functionality contentrest level durastore,2
DURACLOUD-497,remove imageconversion services temporarily,task remove two image conversion services bulk image conversion nonbulk image conversion list available services release services become available strategy developed help users manage error cases,1
DURACLOUD-498,synctool recognize chunked content,issue seen two scenarios content chunked duracloud one run synctool recognized existing space subsequent run synctool content chunked duracloud one run synctool recognized existing locally subsequent run synctool syncdeletes flag set chunks deleted duracloud space,2
DURACLOUD-499,update easymock library version,easymock rolled class extension project base project deprecated easymock classextension task update top level pom use easymock refactor tests use orgeasymockclassextensioneasymock use orgeasymockeasymock instead,1
DURACLOUD-500,synctool delete empty subdirectories,issue seen following scenario create empty durastore space create local directory subdirectories add files run synctool verify spacedirectories delete local file toplevel within subdirectory subdirectory make sure content remains subdirectory run synctool syncdeletes verify content deleted space issue delete local content following ways subdirectory leaving subdirectory empty remove everything local directory run synctool syncdeletes error notice content deleted space,1
DURACLOUD-501,throw exception space names long,item ensure error thrown back user space created name exceeds maximum name limit currently name truncated truncated name isnt displayed refresh see sproviderutil line spot sstorageprovider likely truncation current active storage providers rackspace azure checked behavior example space name long duracloudsnapshotservicerepotrialtest,1
DURACLOUD-503,new service plan services,task add new service plan includes services,1
DURACLOUD-504,oom reinitialization durareport,issue revealed performing multiple reinitialization duracloud instance via appconfig would appear report collection threads created initialization properly shutdown immediate subsequent reinitialization reinits oom seen,1
DURACLOUD-505,deployed services list refreshing,service deployed service information displayed deployed services list,1
DURACLOUD-506,add links dashboard allow downloading duracloud utilities,task add link links duradmin dashboard allow user easily download duracloud utilities sync tool retrieval tool etc would also useful links pointing documentation utilities downloaded update existing help link open new window page add tab dashboard beside storage service report tabs called tools content listed,1
DURACLOUD-508,rest endpoint isinitialized across webapps,improvement add new rest method four existing webapps durastore duraservice durareport duradmin authenticates anonymous users returns response code initialized initialized,2
DURACLOUD-509,add messaging support content copy action,task add messaging support new copycontent method added storageprovider interface new topic added carry messages related copy operations messages sent two services listeners duplicate change media streamer need updated listen copy operations react appropriately,1
DURACLOUD-510,longrunning storage tasks,task make possible run track modify stop longrunning storage activities since actions take long time user needs able discover current progress also able cancel change task process also tasks usually need restarted event instance restart examples types activities multifile delete multifile copy within providers multifile multispace property addupdatedelete large space delete activities handle multiple content items way provide known set content ids action occur followon task item expose capabilities,8
DURACLOUD-511,provide understanable error message users attempt create space reserved name,task add validation space creation action allow users attempt create space reserved name list reserved names found currently user attempts create space named example task big error dialog http response message displayed,1
DURACLOUD-512,distinguish servicefailures failedserviceresults hadoop services,improvement different informational messages underlying service properties service fails versus results service run contain failures examples service failures unrecoverable exceptions oom failed hadoop startup etc examples result failures bit integrity discrepancies unsuccessful image conversions unsuccessful duplications etc,3
DURACLOUD-513,distill failed items failed service run,improvement extract failed items output report unsuccessful service runs order make errors clear user implementation likely require updates reporting well underlying service infrastructure,3
DURACLOUD-514,filter administrative content storage reports,improvement default expose user content storage reports administrative content filter currently found following spaces xduracloudadmin xserviceout xservicework implementation may done time report statistics collection toggling admin spaces onoff,3
