,issuekey,title,description,storypoint
88,TIMOB-7486,ios modal window orientation misplaces children,problem window changes orientation modal children end behind nav bar code sample code var win tiuicreatewindow orientationmodes titaniumuiportrait titaniumuiupsideportrait titaniumuilandscapeleft titaniumuilandscaperight var view tiuicreateview backgroundcolorwhite var label tiuicreatelabel top height textlalalalala viewaddlabel winaddview winopenmodaltrue code reproduce run code appjs rotate devicesimulator behavior happens view label text lalalala ends navbar invisible user happen view containing label resize accordingly,1
89,TIMOB-7536,using titanium create command line create new ios module fails correctly configure titaniumxcconfig file osx lion,using titanium create command line create new ios module fails correctly configure titaniumxcconfig titaniumsdk incorrect osx lion front path,1
90,TIMOB-7559,ios commonjs require undeclared variable referenced module fails generate error,undeclared variables referenced module fail generate error android generate error screenshot attached undeclared variable used logic adding window screenshot attached undeclared variable used module error undeclared variable returned exports functioncall error undeclared variable defined return value exports function function never called error undeclared variable returned exports functioncall assigned new variable outside module error variable continue used steps reproduce run code also attached codetitleappjs var undeclaredvar requiremodulegetundeclaredvar tiuicreatewindowaddundeclaredvar code codetitlemodulejs exportsgetundeclaredvar function return undeclaredvar code expected result runtime error indicating undeclared variable actual result runtime error,2
91,TIMOB-8472,android setting backgroundimage tableviewrow null empty string crashes app,hproblem setting backgroundimage property tableviewrow null crashes app nullpointerexceptionforce close setting backgroundimage empty string locks app eventually crash keep clicking try back hrationale problem need apply background image row point later remove background image completely htested droid razr android emulator hruntime engines vrhino hreproduction steps drop following appjs code new project initially row background image property specified click row oncea background image appears caption changes click row againa force close messaage appears screen nullpointerexception appears console repeat test test line commented test line uncommented app freeze nothing new appears console window crash click row try back hrepro sequence code var win tiuicreatewindow backgroundcolorblack var thelistboxtiuicreatetableviewwidthauto var birowtiuicreatetableviewrowcolorwhite titleno background imageclick toggle thelistboxappendrowbirow winopen winaddthelistbox birowaddeventlistenerclicktogglebi function togglebi birowbackgroundimage birowbackgroundimageappiconpng birowtitletitanium background imageclick toggle else birowbackgroundimagenull testnullpointerexception birowbackgroundimage testlockupfreezecrash next click birowtitleno background imageclick toggle code hconsole output noformat cation main titanium tiapplication main titanium javascript runtime dalvikvm trying load lib datadatacomappceleratortestliblibstlportsharedso xcf dalvikvm added shared lib datadatacomappceleratortestliblibstlportsharedso xcf dalvikvm jnionload found datadatacomappceleratortestliblibstlportsharedso xcf skipping init dalvikvm trying load lib datadatacomappceleratortestliblibkrollvso xcf dalvikvm added shared lib datadatacomappceleratortestliblibkrollvso xcf tiapplication main activity stack emtpy unable get current activity tirootactivity main checkpoint root activity create savedinstancestate null tiapplication main activity stack emtpy unable get current activity tiapplication main activity stack emtpy unable get current activity tiapplication main activity stack emtpy unable get current activity tiapplication krollruntimethread app proxy timodulestitaniumappappmoduleace dalvikvm gcexternalalloc freed free external paused tirootactivity main checkpoint root activity resume activity comappceleratortestbestpracticesactivityd inputmanagerservice starting input nonfocused client comandroidinternalviewiinputmethodclientstubproxybfd uid pid gralloc allocated size activitymanager displayed comappceleratortestbestpracticesactivity gralloc allocated size alarmmanager sending alarm alarma type comandroidvending dalvikvm gcconcurrent freed free external paused msms finsky onfinished installation state replication succeeded alarmmanager sending alarm alarmbd type comgoogleandroidgsf eventlogservice aggregate log data batterytemppolicy updatebatterytemp temperature threshhold netlinklistener ignoring nonkernel netlink multicast message netlinklistener ignoring nonkernel netlink multicast message netlinklistener ignoring nonkernel netlink multicast message netlinklistener ignoring nonkernel netlink multicast message statusbarpolicy handlebatteryupdate dalvikvm gcexplicit freed free external paused dalvikvm gcexplicit freed free external paused dalvikvm gcexplicit freed free external paused dalvikvm gcexplicit freed free external paused tianalyticssvc thread analytics service started tianalyticssvc thread network unavailable cant send analytics tianalyticssvc thread stopping analytics service dalvikvm gcexplicit freed free external paused dalvikvm gcexplicit freed free external paused alarmmanager sending alarm alarmd type android dalvikvm gcexplicit freed free external paused dalvikvm gcexplicit freed free external paused typeconverter jsvaluetojavaobject returning null androidruntime shutting dalvikvm threadid thread exiting uncaught exception groupxe tiapplication main sending event exception thread main msgjavalangnullpointerexception titanium tiapplication javalangnullpointerexception tiapplication timodulestitaniumuiwidgettableviewtibasetableviewitemsetbackgroundfromproxytibasetableviewitemjava tiapplication timodulestitaniumuiwidgettableviewtitableviewrowproxyitemsetrowdatatitableviewrowproxyitemjava tiapplication timodulestitaniumuiwidgettableviewtitableviewrowproxyitemsetrowdatatitableviewrowproxyitemjava tiapplication timodulestitaniumuiwidgettableviewtitableviewttvlistadaptergetviewtitableviewjava tiapplication androidwidgetabslistviewobtainviewabslistviewjava tiapplication androidwidgetlistviewmakeandaddviewlistviewjava tiapplication androidwidgetlistviewfillspecificlistviewjava tiapplication androidwidgetlistviewlayoutchildrenlistviewjava tiapplication androidwidgetabslistviewonlayoutabslistviewjava tiapplication androidviewviewlayoutviewjava tiapplication androidwidgetframelayoutonlayoutframelayoutjava tiapplication androidviewviewlayoutviewjava tiapplication orgappceleratortitaniumviewticompositelayoutonlayoutticompositelayoutjava tiapplication androidviewviewlayoutviewjava tiapplication orgappceleratortitaniumviewticompositelayoutonlayoutticompositelayoutjava tiapplication androidviewviewlayoutviewjava tiapplication androidwidgetframelayoutonlayoutframelayoutjava tiapplication androidviewviewlayoutviewjava tiapplication androidwidgetlinearlayoutsetchildframelinearlayoutjava tiapplication androidwidgetlinearlayoutlayoutverticallinearlayoutjava tiapplication androidwidgetlinearlayoutonlayoutlinearlayoutjava tiapplication androidviewviewlayoutviewjava tiapplication androidwidgetframelayoutonlayoutframelayoutjava tiapplication androidviewviewlayoutviewjava tiapplication androidviewviewrootperformtraversalsviewrootjava tiapplication androidviewviewroothandlemessageviewrootjava tiapplication androidoshandlerdispatchmessagehandlerjava tiapplication androidoslooperlooplooperjava tiapplication androidappactivitythreadmainactivitythreadjava tiapplication javalangreflectmethodinvokenativenative method tiapplication javalangreflectmethodinvokemethodjava tiapplication comandroidinternaloszygoteinitmethodandargscallerrunzygoteinitjava tiapplication comandroidinternaloszygoteinitmainzygoteinitjava tiapplication dalviksystemnativestartmainnative method androidruntime fatal exception main androidruntime javalangnullpointerexception androidruntime timodulestitaniumuiwidgettableviewtibasetableviewitemsetbackgroundfromproxytibasetableviewitemjava androidruntime timodulestitaniumuiwidgettableviewtitableviewrowproxyitemsetrowdatatitableviewrowproxyitemjava androidruntime timodulestitaniumuiwidgettableviewtitableviewrowproxyitemsetrowdatatitableviewrowproxyitemjava androidruntime timodulestitaniumuiwidgettableviewtitableviewttvlistadaptergetviewtitableviewjava androidruntime androidwidgetabslistviewobtainviewabslistviewjava androidruntime androidwidgetlistviewmakeandaddviewlistviewjava androidruntime androidwidgetlistviewfillspecificlistviewjava androidruntime androidwidgetlistviewlayoutchildrenlistviewjava androidruntime androidwidgetabslistviewonlayoutabslistviewjava androidruntime androidviewviewlayoutviewjava androidruntime androidwidgetframelayoutonlayoutframelayoutjava androidruntime androidviewviewlayoutviewjava androidruntime orgappceleratortitaniumviewticompositelayoutonlayoutticompositelayoutjava androidruntime androidviewviewlayoutviewjava androidruntime orgappceleratortitaniumviewticompositelayoutonlayoutticompositelayoutjava androidruntime androidviewviewlayoutviewjava androidruntime androidwidgetframelayoutonlayoutframelayoutjava androidruntime androidviewviewlayoutviewjava androidruntime androidwidgetlinearlayoutsetchildframelinearlayoutjava androidruntime androidwidgetlinearlayoutlayoutverticallinearlayoutjava androidruntime androidwidgetlinearlayoutonlayoutlinearlayoutjava androidruntime androidviewviewlayoutviewjava androidruntime androidwidgetframelayoutonlayoutframelayoutjava androidruntime androidviewviewlayoutviewjava androidruntime androidviewviewrootperformtraversalsviewrootjava androidruntime androidviewviewroothandlemessageviewrootjava androidruntime androidoshandlerdispatchmessagehandlerjava androidruntime androidoslooperlooplooperjava androidruntime androidappactivitythreadmainactivitythreadjava androidruntime javalangreflectmethodinvokenativenative method androidruntime javalangreflectmethodinvokemethodjava androidruntime comandroidinternaloszygoteinitmethodandargscallerrunzygoteinitjava androidruntime comandroidinternaloszygoteinitmainzygoteinitjava androidruntime dalviksystemnativestartmainnative method activitymanager force finishing activity comappceleratortestbestpracticesactivity dalvikvm gcexternalalloc freed free external paused applicationcontext unable create files directory gralloc allocated size activitymanager activity pause timeout historyrecordacd comappceleratortestbestpracticesactivity activitymanager longer want amepgamesaffinalremote pid hidden activitityrendertarget onresume imgsrv eglgluec initcontext ignoring buffer type cbuftypepdsvertsecondarypregenbuffer gralloc allocated size gralloc allocated size gralloc allocated size activitymanager scheduling restart crashed service amepgamesaffinalcomappendaappnotify activitymanager longer want commotorolaimservice pid hidden activitymanager scheduling restart crashed service commotorolaimserviceremoteimservice gralloc allocated size noformat hapi docs,1
92,TIMOB-7584,android opening new window background color briefly displayed objects added screen,problem opening new window background color new window displayed brief moment objects drawn added screen happening reproducible opening new window still overall faster around times faster something around steps reproduce behavior noticeable especially emulator since less reactive codelangjavascripttitleappjs var win tiuicreatewindow navbarhidden true backgroundcolor green function createnewwin var win tiuicreatewindow navbarhidden true backgroundcolor black var view tiuicreateview backgroundcolor blue winaddview return win var button tiuicreatebutton title open new win width height top winaddbutton buttonaddeventlistenerclick function var win createnewwin winopen winopen code link ticket related,3
93,TIMOB-7586,ios image saved filesystem using toimage loses transparency,problem saving image filesystem using toimage method keep transparent property image steps reproduce see attached code codelangjavascripttitleappjs var window tiuicreatewindow backgroundcolorff var view tiuicreateimageview imageksnavuipng var view tiuicreateview backgroundcolortransparent borderwidth bordercolorf width height top windowaddview var image tifilesystemgetfiletifilesystemapplicationdatadirectory tstpng imagewriteviewtoimage var img tiuicreateimageview width height bottom imageimagenativepath windowaddimg windowopen code link ticket,1
94,TIMOB-8346,ios open event fires multiple times startup plus whenever focused using navigationgroup,hproblem open event window fires times first opened whenever window rereceives focus navigating back using navigationgroup open event fires hexpected result open event fire oncewhen first opened period fire window rereceives focus hsteps reproduce drop following appjs code new project build sdk run iphone simulator see code info one moment building info titanium sdk version info iphone device family iphone info iphone sdk version info iphone simulated device iphone info launching application simulator info launched application simulator seconds info found patch installed info application started info navgroupfocustest info rootwin open fired info rootwin open fired info rootwin open fired code say open fire times click open new window button watch console log see code info wind code click back button watch console log see code info rootwin focused info rootwin open fired code say open fire repeat steps continue get result youre bored game htestcase codetitleappjs var rootwin tiuicreatewindow rootwinaddeventlistenerfocus function tiapiinforootwin focused rootwinaddeventlisteneropen function tiapiinforootwin open fired var btnopenwin tiuicreatebutton title open new window width height btnopenwinaddeventlistenerclick function var win tiuicreatewindow ngopenwin animatedtrue tiapiinfond wind rootwinaddbtnopenwin tiuiiphonecreatenavigationgroupwindowrootwin var navbase tiuicreatewindow navbaseaddng navbaseopen opens root window automatically code larger project sometimes back main window events fire focus open would expect focus event fire time something keep mind youre looking code havent successful reproducing small testcase,1
95,TIMOB-7607,ios status bar disappears video closed landscapeportrait mode,expected video closed landscapeportrait mode status bar visible actual currently visible attached sample appjs screen shots explain issue test code code var win tiuicreatewindow backgroundcolorfff top left width height zindex var btsostream tiuicreatebutton width height color blue title livestream font fontsizefontfamilyhelvetica neue left top btsostreamaddeventlistenerclick functione var wstream tiuicreatewindow fullscreen true orientationmodes titaniumuiportrait titaniumuilandscaperight titaniumuilandscapeleft backgroundcolor wstreamopen var vpstream timediacreatevideoplayer contenturl backgroundcolor moviecontrolmode titaniummediavideocontroldefault scalingmode titaniummediavideoscalingmodefill scalingmode titaniummediavideoscalingaspectfit fullscreen true var ignorefullscreenevent false vpstreamaddeventlistenernaturalsizeavailable functione ignorefullscreenevent true vpstreamaddeventlistenerfullscreen functione ifignorefullscreenevent wstreamclose ignorefullscreenevent false wstreamaddvpstream winaddbtsostream winopen code,1
96,TIMOB-8100,ios barimage hides nav buttons window transition,window navbar barimage nav buttons rightnavbutton child window back nav buttons hidden barimage still react touch steps reproduce put appjs code attached navbarpng attached resources directory run code ios simulator click open window button click back button return window right nav button hidden although still click appjs example code follows code var win tiuicreatewindow title window barimage navbarpng var navbutton tiuicreatebutton title rightnavbutton navbuttonaddeventlistenerclick functione tiuicreatealertdialog message nav button clicked show winrightnavbutton navbutton wintitlecontrol tiuicreatelabeltext title control var button tiuicreatebutton width height title open window buttonaddeventlistenerclick functione tabgroupactivetabopenwin winaddbutton var win tiuicreatewindow title window var tab tiuicreatetab title tab window win var tabgroup tiuicreatetabgroup tabgroupaddtabtab tabgroupopen code possibly related,2
97,TIMOB-8326,android regression tableview longer responds touch events touchstart touchmove touchend touchcancel,hproblem tableview respond touch events touchstart touchmove touchend touchcancel regression worked fine continuous build september also works fine ios android affected htest case drop following appjs code new project build sdk run android emulator press hold row touchstart event occurs still holding row move mouse around little touchmove event occurs let row touchend event occurs codetitleappjs var wintiuicreatewindow backgroundcolorfff exitonclosetrue layoutvertical navbarhiddenfalse backgroundcolorblack var toplabeltiuicreatelabeltextlast row half visible scrolled colorblack left right height backgroundcoloryellow winaddtoplabel var mylistboxtiuicreatetableviewbackgroundcolorblack var mylistboxappendrowtiuicreatetableviewrowtitlerow tiapiinfoadding eventlistener touchstart mylistboxaddeventlistenertouchstarttchstart function tchstartevt tiapiinfotchstart tiapiinfoadding eventlistener touchmove mylistboxaddeventlistenertouchmovetchmove function tchmoveevt tiapiinfotchmove tiapiinfoadding eventlistener touchend mylistboxaddeventlistenertouchendtchend function tchendevt tiapiinfotchend tiapiinfoadding eventlistener touchcancel mylistboxaddeventlistenertouchcanceltchcancel function tchcancelevt tiapiinfotchcancel tiapiinfoadding eventlistener click mylistboxaddeventlistenerclicklbclick function lbclickevt tiapiinfolbclick winaddmylistbox winopen code,3
98,TIMOB-7624,android tiapi enable logging methods accept either array strings string,problem bring parity ios titaniumapi logging methods enable accept arrays strings addition existing string arguments,1
99,TIMOB-7627,ios emailsms dialog change orientation properly,hissue create window set winorientationmodes titaniumuiportrait set tiappxml create emaildialog smsdialog open window proceed rotate device landscape window rotates landscape statusbar keyboard remain portrait hexpected behavior keyboard statusbar rotate accordingly used work seen screenshots htested iphone ios simulator tisdk tisdk fail tisdk fail hsteps reproduce run code click email button select field email dialog keyboard shows rotate device misbehavior appears suddenly hrepro sequence codetitleappjs sets background color master uiview windowstab groups titaniumuisetbackgroundcolor create tab group var tabgroup titaniumuicreatetabgroup create base tab root window var win titaniumuicreatewindow titletab backgroundcolorfff var tab titaniumuicreatetab iconksnavviewspng titletab windowwin var label titaniumuicreatelabel color texti window fontfontsizefontfamilyhelvetica neue textaligncenter widthauto var button tiuicreatebutton titleemail height buttonaddeventlistenerclick function var emaildialog tiuicreateemaildialog emaildialogopen winaddlabel winaddbutton create controls tab root window var win titaniumuicreatewindow titletab backgroundcolorfff var tab titaniumuicreatetab iconksnavuipng titletab windowwin var label titaniumuicreatelabel color texti window fontfontsizefontfamilyhelvetica neue textaligncenter widthauto winaddlabel add tabs tabgroupaddtabtab tabgroupaddtabtab open tab group tabgroupopen code hadditional info window locked doesnt seems work either locked orientation ios codetitletiappxml iphone orientations deviceiphone orientationtiuiportraitorientation orientations orientations deviceipad orientationtiuiportraitorientation orientationtiuiupsideportraitorientation orientationtiuilandscapeleftorientation orientationtiuilandscaperightorientation orientations iphone code,1
100,TIMOB-7642,ios memory leak local html file used webview,memory released webview local html file added window removed happen remote url used sample code local html file attached sample code noformat var win tiuicreatewindow backgroundcolor white var webview null var btnadd tiuicreatebutton title add top left height width btnaddaddeventlistenerclick function webview tiuicreatewebview url localwebviewhtml url height bottom winaddwebview var btnremove tiuicreatebutton title remove top right height width btnremoveaddeventlistenerclick function winremovewebview webview null winaddbtnadd winaddbtnremove winopen noformat steps reproduce drop sample code appjs copy attached localwebviewhtml resources folder start application open instruments profile click add button remove button search proxy instruments seen webview proxies released even memory warnings simulated expected behavior proxies related webview released observed behavior memory freed observations memory freed remote url uncomment line googlecom comment line localwebviewhtml used,2
101,TIMOB-7643,android implement composite layout behavior spec,spec detailed test case,5
102,TIMOB-7644,ios memory released tab removed tabgroup,memory released tab removed tabgroup ios using removetab sample code noformat create tab group var tabgroup titaniumuicreatetabgroup create base tab root window var win titaniumuicreatewindow titletab backgroundcolorfff var tab titaniumuicreatetab iconksnavviewspng titletab windowwin var label titaniumuicreatelabel color textremove tab fontfontsizefontfamilyhelvetica neue textaligncenter widthauto labeladdeventlistenerclick function tabgroupremovetabtab label win tab null winaddlabel create controls tab root window var win titaniumuicreatewindow titletab backgroundcolorfff var tab titaniumuicreatetab iconksnavuipng titletab windowwin var label titaniumuicreatelabel color texti window fontfontsizefontfamilyhelvetica neue textaligncenter widthauto winaddlabel add tabs tabgroupaddtabtab tabgroupaddtabtab open tab group tabgroupopen noformat steps reproduce drop sample code appjs start application open instruments profile click remove tab label search proxy instruments seen tab proxyalong window label proxies inside tab released even memory warnings simulated expected behavior proxies related tab elements inside released observed behavior memory freed,1
103,TIMOB-7652,tooling add clean option titanium build scripts,based ticket tistud seems odd titanium studio knows clean build especially since doesnt know build seems titanium clean platformpp command omitted cleans platforms would good studio need internalize platformspecific function,1
104,TIMOB-7657,android permissions failure androidcalendar drillbit test,looks like androidcalendar test recently started failing due missing permissions log code permission denial opening provider comandroidproviderscalendarcalendarprovider processrecordb orgappceleratortitaniumtestharness pid uid requires androidpermissionreadcalendar androidpermissionwritecalendar code,1
105,TIMOB-7660,ios moving rows sections hard crash,moving rows sections causing crashes see attached examples repro steps top attached file tickets referencing issue let know theres info provide,1
106,TIMOB-7659,ios backgroundselectedimage scale ipod gen,backgroundselectedimage property doesnt scale ipod gen see cropped image image scales fine ipod gen repro steps run code ipod gen images scale code var wintiuicreatewindow backgroundcolor white var button titaniumuicreatebutton backgroundimageappsspng backgroundselectedimageappsppng top titaniumplatformdisplaycapsplatformheight width titaniumplatformdisplaycapsplatformheight height titaniumplatformdisplaycapsplatformheight buttonaddeventlistenerclickfunctione titaniumapiinfoyou clicked button winaddbutton winopen code,1
107,TIMOB-7661,coverage fix error coverage generation script,currently coveragepy script failing whenever run without arguments impedes automating getting metrics api docs apis,1
108,TIMOB-7700,android enable searchbar animate cancel button,original ios issue searchbar attached tableview instead attached view window cancel button isnt animated seem property enable cancel button animated searchbar attached tableview ios optional argument setshowcancel setshowcancelboolanimatedtrue wherein cancel button animated hiding android offers something similar probably support paritys sake,1
109,TIMOB-8293,ios subsequently setting html property webview show changed html shows blank content,problem app create one instance tiuiwebview reuse showing html content stored sql user navigates different entries within messages list new selected content pushed webview asigning value html property webview first time value set content shows expected value set second time webview shows empty test case create fresh mobile project replace default appjs following code codelangjavascripttitleappjs sets background color master uiview windowstab groups titaniumuisetbackgroundcolor create tab group var tabgroup titaniumuicreatetabgroup create base tab root window var win titaniumuicreatewindow titletab backgroundcolorfff var tab titaniumuicreatetab iconksnavviewspng titletab windowwin varbutton titaniumuicreatebutton titleopen webview window width height winaddbutton var winwebview titaniumuicreatewindow titlewindow webview backgroundcolorfff var webview titaniumuicreatewebview winwebviewaddwebview var counter buttonaddeventlistenerclickfunctione counter webviewhtml hcounter counter tabopenwinwebviewanimatedtrue create controls tab root window var win titaniumuicreatewindow titletab backgroundcolorfff var tab titaniumuicreatetab iconksnavuipng titletab windowwin var label titaniumuicreatelabel color texti window fontfontsizefontfamilyhelvetica neue textaligncenter widthauto winaddlabel add tabs tabgroupaddtabtab tabgroupaddtabtab open tab group tabgroupopen code build run app simulator tap button open webview window webview shows line counter navigate back tab tap button open webview window webview show line counter webview shows empty titaniums sdk works expected,1
110,TIMOB-7806,tooling bundle acs potentially mqtt module binaries mobilesdk,need bundle new acs module alongside mobilesdk android may also require second mqtt module acs module depend brief overview work acs mqtt modules provided zip binaries modules team preferably living something like supportcommon sitesconspackagepy need updated zips extracted live modules top level directory mobilesdk zip ensure mobilesdk zip extracted modules installed system directory well testing download two modules attached ticket ignore boguszip copy two zips titaniummobilesupportmodulepackaged run scons build sdk extract sdk zip dist verify file structure modules matches described ticket see comments,1
111,TIMOB-7816,android ignore files start,mac editors generate file compile android app androidcompilerpys makefunctionfromfile function error saying code unicodedecodeerror utf codec cant decode byte position invalid start byte code need ignore files,3
112,TIMOB-7833,tooling add support common commonjs module installation folder,current module system modules must either installed project system titanium folder cases modules platformspecific compiled binaries static lib ios shared lib android would nice allow pure javascript commonjs modules common place could simply distributed files example common commonjs folder system titanium directory would analogous todays iphone android directories,1
113,TIMOB-7862,ios uipopover background color,previous way customize uipopover background color reading docs around web since people references,1
114,TIMOB-7865,android xml parsing xml multiple times crashes phone,details running appjs sdk build app eventually crash continuously called see attachment logcattxt running appjs sdk build get memory exception see attachment logcattxt however appjs crash running rhino builds steps reproduce create new project replace appjs attached appjs run app press load app crashes actual app crashes see attachments expected app crash,1
115,TIMOB-8486,ios videoplayer fire touch events since,videoplayer firing touch events anymore ios platforms tested next code works sdk ios working sdk tried capture click dblclik touchstart events result bug confirmed community codetitletest case appjsborderstylesolid var win tiuicreatewindow var videoobject titaniummediacreatevideoplayer contenturltestmp scalingmodetitaniummediavideoscalingmodefill top left height width autoplaytrue videoobjectaddeventlistenerclick function alertclick winaddvideoobject winopen code,2
116,TIMOB-7897,android memory leak windows properly cleaning close,windows appear leaking memory properly cleaning closed affects heavy windows activity test case opening window adding many child views run application click button open window wait alert dialog popup telling okay back hit back button close window repeat process expected memory usage peak remain steady actual memory usages constantly rises memory crash occurs codejavascript function mainviews var newwin tiuicreatewindow navbarhidden true tiapiinfo mainviews function started var views var view null var view tiuicreateview viewspushview newwinaddview newwinopen alertyou may click back tiapiinfotitanium views created added array tiapiinfo mainviews function stopped var win tiuicreatewindow backgroundcolor white var button tiuicreatebutton title create views buttonaddeventlistenerclick functione mainviews tiapiinfoavailable memory tiplatformavailablememory winaddbutton winopen code,1
117,TIMOB-7948,android invalid column visibility querying events tiandroidcalendar,sample app calendar tdoc shows error error seems happen geteventsinyear called code var calendars var selectedcalendarname var selectedcalendarid var pickerdata var win tiuicreatewindow backgroundcolor white exitonclose true fullscreen false layout vertical title calendar demo var scrollview tiuicreatescrollview backgroundcolor eee height top var label tiuicreatelabel backgroundcolor white text click button display events selected calendar textalign tiuitextalignmentcenter top scrollviewaddlabel var selectablecalendars tiandroidcalendarselectablecalendars var ilen selectablecalendarslength ilen calendarspush name selectablecalendarsiname selectablecalendarsiid pickerdatapush tiuicreatepickerrow title calendarsiname ifi selectedcalendarname selectablecalendarsiname selectedcalendarid selectablecalendarsiid var selectablecalendars null ifcalendarslength labeltext calendars available select least one native calendar using app else labeltext click button view calendar events var picker tiuicreatepicker top pickeraddpickerdata winaddpicker pickeraddeventlistenerchange functione var ilen calendarslength ilen ifcalendarsiname erowtitle selectedcalendarname calendarsiname selectedcalendarid calendarsiid var button tiuicreatebutton title view events top winaddbutton buttonaddeventlistenerclick functione labeltext generating var currentyear new dategetfullyear var consolestring function prints consolestringlength consolestring consolestring consolestring consolestring var calendar tiandroidcalendargetcalendarbyidselectedcalendarid function printreminderr var typetext method unknown rmethod tiandroidcalendarmethodemail typetext email else rmethod tiandroidcalendarmethodsms typetext sms else rmethod tiandroidcalendarmethodalert typetext alert else rmethod tiandroidcalendarmethoddefault typetext default reminder method printtypetext reminder sent rminutes minutes event function printalerta printalert aid begin abegin end aend alarmtime aalarmtime minutes aminutes function printeventevent eventallday printevent eventtitle eventbegintolocaledatestring day else printevent eventtitle eventbegintolocaledatestring eventbegintolocaletimestring eventendtolocaletimestring var reminders eventreminders reminders reminderslength printthere isare reminderslength reminders var reminderslength printreminderremindersi printhasalarm eventhasalarm var alerts eventalerts alerts alertslength var alertslength printalertalertsi var status eventstatus status tiandroidcalendarstatustentative printthis event tentative status tiandroidcalendarstatusconfirmed printthis event confirmed status tiandroidcalendarstatuscanceled printthis event canceled var events calendargeteventsinyearcurrentyear events eventslength printeventslength events currentyear print var eventslength printeventeventsi print else printno events labeltext consolestring winaddscrollview winopen code also make sure add readcalendar writecalendar permissions tiappxml code tiapp android manifest usespermission androidnameandroidpermissionreadcalendar usespermission androidnameandroidpermissionwritecalendar manifest android tiapp code finally trace code cursorwrapperinner cursor finalized without prior close edatabaseutils writing exception parcel edatabaseutils javalangillegalargumentexception invalid column visibility edatabaseutils androiddatabasesqlitesqlitequerybuildercomputeprojectionsqlitequerybuilderjava edatabaseutils androiddatabasesqlitesqlitequerybuilderbuildquerysqlitequerybuilderjava edatabaseutils androiddatabasesqlitesqlitequerybuilderquerysqlitequerybuilderjava edatabaseutils androiddatabasesqlitesqlitequerybuilderquerysqlitequerybuilderjava edatabaseutils comandroidproviderscalendarcalendarproviderhandleinstancequerycalendarproviderjava edatabaseutils comandroidproviderscalendarcalendarproviderquerycalendarproviderjava edatabaseutils androidcontentcontentprovidertransportquerycontentproviderjava edatabaseutils androidcontentcontentprovidernativeontransactcontentprovidernativejava edatabaseutils androidosbinderexectransactbinderjava edatabaseutils dalviksystemnativestartrunnative method etijserror main titanium javascript runtime error etijserror main pullrequestsjs etijserror main message uncaught error invalid column visibility etijserror main source var events calendargeteventsinyearcurrentyear evexception exception occurred pullrequestsjs uncaught error invalid column visibility code,1
118,TIMOB-7967,android replace nodetext nodetextcontent,mobileweb parity need deprecate current nodetext property xml api rename textcontent wont fully implementing textcontent dom spec requires readwrite access traversal rules slightly different current implementation mainly source level equivalence time implement properly,1
119,TIMOB-7968,ios replace nodetext nodetextcontent,mobileweb parity need deprecate current nodetext property xml api rename textcontent wont fully implementing textcontent dom spec requires readwrite access traversal rules slightly different current implementation mainly source level equivalence time implement properly,1
120,TIMOB-8077,ios tableview setcontentinsets working correctly values assigned always respected,using many complex rows table view connection pull refresh table always stay stuck things like reloading message showing reproduce following run following code device simulator works fine scroll table bit scroll back try pull refresh times result table always stay pulled sometimes often around however pull hold table second releasing seems work correctly code recreate issue kitchen sink run rows make issue clear issue also clear using complex row layouts code var win tiuicreatewindow function formatdate var date new date var datestr dategetmonthdategetdatedategetfullyear dategethours datestr dategethours dategethours dategethoursdategetminutes else datestr dategethoursdategetminutes return datestr var data fori datapushtitlerow var lastrow var tableview tiuicreatetableview data data winaddtableview var border tiuicreateview backgroundcolorc height bottom var tableheader tiuicreateview backgroundcoloreeed width height fake til make create pixel bottom border tableheaderaddborder var arrow tiuicreateview backgroundimageimageswhitearrowpng width height bottom left var statuslabel tiuicreatelabel textpull reload left width bottom heightauto colorc textaligncenter fontfontsizefontweightbold shadowcolor shadowoffsetxy var lastupdatedlabel tiuicreatelabel textlast updated formatdate left width bottom heightauto colorc textaligncenter fontfontsize shadowcolor shadowoffsetxy var actind titaniumuicreateactivityindicator left bottom width height tableheaderaddarrow tableheaderaddstatuslabel tableheaderaddlastupdatedlabel tableheaderaddactind tableviewheaderpullview tableheader var pulling false var reloading false function beginreloading mock reload settimeoutendreloading function endreloading simulate loading var clastrowclastrowc tableviewappendrowtitlerow lastrow youre done reset tableviewsetcontentinsetstopanimatedtrue reloading false lastupdatedlabeltext last updated formatdate statuslabeltext pull refresh actindhide arrowshow tableviewaddeventlistenerscrollfunctione var offset econtentoffsety offset pulling var tiuicreatedmatrix trotate pulling true arrowanimatetransformtduration statuslabeltext release refresh else pulling offset offset pulling false var tiuicreatedmatrix arrowanimatetransformtduration statuslabeltext pull refresh tableviewaddeventlistenerscrollendfunctione pulling reloading econtentoffsety reloading true pulling false arrowhide actindshow statuslabeltext reloading tableviewsetcontentinsetstopanimatedtrue arrowtransformtiuicreatedmatrix beginreloading winopen code,2
